date,date_id,year,month,day
2017-10-02,20171002,2017,10,2
2018-07-24,20180724,2018,7,24
2018-08-08,20180808,2018,8,8
2017-11-18,20171118,2017,11,18
2018-02-13,20180213,2018,2,13
2017-07-09,20170709,2017,7,9
2017-04-11,20170411,2017,4,11
2017-05-16,20170516,2017,5,16
2017-01-23,20170123,2017,1,23
2017-07-29,20170729,2017,7,29
2017-07-13,20170713,2017,7,13
2018-06-07,20180607,2018,6,7
2018-07-25,20180725,2018,7,25
2018-03-01,20180301,2018,3,1
2018-01-02,20180102,2018,1,2
2017-12-26,20171226,2017,12,26
2017-11-21,20171121,2017,11,21
2017-10-26,20171026,2017,10,26
2017-09-18,20170918,2017,9,18
2018-03-15,20180315,2018,3,15
2018-02-03,20180203,2018,2,3
2018-01-08,20180108,2018,1,8
2018-08-09,20180809,2018,8,9
2018-02-20,20180220,2018,2,20
2018-06-04,20180604,2018,6,4
2018-03-12,20180312,2018,3,12
2018-05-02,20180502,2018,5,2
2018-02-25,20180225,2018,2,25
2017-08-10,20170810,2017,8,10
2018-04-16,20180416,2018,4,16
2017-12-12,20171212,2017,12,12
2018-07-29,20180729,2018,7,29
2018-02-17,20180217,2018,2,17
2018-02-21,20180221,2018,2,21
2017-07-31,20170731,2017,7,31
2018-06-01,20180601,2018,6,1
2018-03-26,20180326,2018,3,26
2017-05-19,20170519,2017,5,19
2017-11-24,20171124,2017,11,24
2017-08-04,20170804,2017,8,4
2018-08-04,20180804,2018,8,4
2017-05-18,20170518,2017,5,18
2017-05-14,20170514,2017,5,14
2018-05-17,20180517,2018,5,17
2017-08-09,20170809,2017,8,9
2018-02-01,20180201,2018,2,1
2018-06-26,20180626,2018,6,26
2018-07-26,20180726,2018,7,26
2017-12-15,20171215,2017,12,15
2017-08-31,20170831,2017,8,31
2018-06-11,20180611,2018,6,11
2018-03-09,20180309,2018,3,9
2017-03-13,20170313,2017,3,13
2017-06-13,20170613,2017,6,13
2017-11-30,20171130,2017,11,30
2018-08-05,20180805,2018,8,5
2017-11-15,20171115,2017,11,15
2018-02-19,20180219,2018,2,19
2018-04-22,20180422,2018,4,22
2018-01-07,20180107,2018,1,7
2018-02-10,20180210,2018,2,10
2018-06-18,20180618,2018,6,18
2018-06-13,20180613,2018,6,13
2018-07-15,20180715,2018,7,15
2017-09-13,20170913,2017,9,13
2018-04-13,20180413,2018,4,13
2018-02-15,20180215,2018,2,15
2017-02-20,20170220,2017,2,20
2017-04-20,20170420,2017,4,20
2017-09-15,20170915,2017,9,15
2018-07-28,20180728,2018,7,28
2018-08-26,20180826,2018,8,26
2017-07-30,20170730,2017,7,30
2017-12-22,20171222,2017,12,22
2017-04-06,20170406,2017,4,6
2017-05-09,20170509,2017,5,9
2017-10-16,20171016,2017,10,16
2017-12-08,20171208,2017,12,8
2017-08-26,20170826,2017,8,26
2018-02-27,20180227,2018,2,27
2018-05-11,20180511,2018,5,11
2018-01-22,20180122,2018,1,22
2018-05-01,20180501,2018,5,1
2017-09-19,20170919,2017,9,19
2018-04-11,20180411,2018,4,11
2017-12-20,20171220,2017,12,20
2018-08-03,20180803,2018,8,3
2018-05-14,20180514,2018,5,14
2017-11-22,20171122,2017,11,22
2017-03-30,20170330,2017,3,30
2018-06-05,20180605,2018,6,5
2017-05-17,20170517,2017,5,17
2018-07-30,20180730,2018,7,30
2018-02-06,20180206,2018,2,6
2017-01-28,20170128,2017,1,28
2018-01-27,20180127,2018,1,27
2017-07-01,20170701,2017,7,1
2017-09-27,20170927,2017,9,27
2017-11-28,20171128,2017,11,28
2018-08-22,20180822,2018,8,22
2018-07-06,20180706,2018,7,6
2018-05-09,20180509,2018,5,9
2017-11-26,20171126,2017,11,26
2017-09-29,20170929,2017,9,29
2017-06-27,20170627,2017,6,27
2018-01-23,20180123,2018,1,23
2018-08-20,20180820,2018,8,20
2018-01-30,20180130,2018,1,30
2018-03-31,20180331,2018,3,31
2018-03-07,20180307,2018,3,7
2018-05-08,20180508,2018,5,8
2018-04-25,20180425,2018,4,25
2017-07-16,20170716,2017,7,16
2017-09-03,20170903,2017,9,3
2017-10-19,20171019,2017,10,19
2018-07-22,20180722,2018,7,22
2017-12-02,20171202,2017,12,2
2018-01-09,20180109,2018,1,9
2018-07-18,20180718,2018,7,18
2017-03-28,20170328,2017,3,28
2018-06-08,20180608,2018,6,8
2017-07-10,20170710,2017,7,10
